lat,lon,ts
47.44528,-121.69752,2018-06-07 02:50:34.313
47.44528,-121.69752,2018-06-07 02:52:40.263
47.44528,-121.69752,2018-06-07 02:54:42.416
47.44528,-121.69752,2018-06-07 02:56:43.502
47.44612,-121.69162,2018-06-07 02:58:58.358
47.45036,-121.71206,2018-06-07 03:01:04.417
47.45036,-121.71206,2018-06-07 03:03:05.463
47.44612,-121.69162,2018-06-07 03:05:07.406
47.45036,-121.71206,2018-06-07 03:07:09.426
47.44684,-121.70212,2018-06-07 03:07:40.000
47.44684,-121.70212,2018-06-07 03:09:10.605
47.44684,-121.70212,2018-06-07 03:11:12.426
47.44684,-121.70212,2018-06-07 03:13:22.567
47.44783,-121.70429,2018-06-07 03:15:21.000
47.44783,-121.70429,2018-06-07 03:17:24.391
47.44783,-121.70429,2018-06-07 03:19:25.126
47.44783,-121.70429,2018-06-07 03:21:26.442
47.44783,-121.70429,2018-06-07 03:23:27.381
47.44783,-121.70429,2018-06-07 03:25:28.345
47.46644,-121.74486,2018-06-07 03:27:29.455
47.45337,-121.70677,2018-06-07 03:28:31.947
47.45283,-121.70556,2018-06-07 03:28:47.341
47.45281,-121.7055,2018-06-07 03:29:03.000
47.45281,-121.7055,2018-06-07 03:30:12.446
47.45301,-121.70534,2018-06-07 03:30:28.000
47.45316,-121.70539,2018-06-07 03:30:44.000
47.45314,-121.70542,2018-06-07 03:30:59.000
47.45318,-121.70545,2018-06-07 03:31:15.000
47.45375,-121.70596,2018-06-07 03:31:37.000
47.45357,-121.70594,2018-06-07 03:31:52.000
47.45388,-121.70585,2018-06-07 03:32:22.000
47.45486,-121.70753,2018-06-07 03:32:37.000
47.45517,-121.70928,2018-06-07 03:32:46.000
47.45517,-121.70928,2018-06-07 03:32:46.322
47.45518,-121.70956,2018-06-07 03:35:04.268
47.47458,-121.77169,2018-06-07 03:37:05.301
47.47458,-121.77169,2018-06-07 03:39:14.337
47.51176,-121.85161,2018-06-07 03:41:15.380
47.52496,-121.94206,2018-06-07 03:43:21.860
47.53095,-121.94138,2018-06-07 03:45:23.066
47.53385,-121.99905,2018-06-07 03:47:22.968
47.53903,-122.02733,2018-06-07 03:49:23.981
47.5404,-122.01963,2018-06-07 03:50:07.010
47.54322,-122.01657,2018-06-07 03:51:19.000
47.54553,-122.00844,2018-06-07 03:52:12.104
47.54753,-122.00248,2018-06-07 03:52:49.000
47.55407,-121.99653,2018-06-07 03:55:29.000
47.55436,-121.99606,2018-06-07 03:56:16.116
47.55452,-121.99708,2018-06-07 03:56:34.000
47.55453,-121.99712,2018-06-07 03:57:03.175
47.55485,-121.99748,2018-06-07 03:57:34.000
47.55504,-121.99466,2018-06-07 03:58:03.228
47.55393,-121.99742,2018-06-07 03:58:23.938
47.55447,-121.99536,2018-06-07 04:00:15.413
47.55407,-121.99588,2018-06-07 04:00:38.512
47.55489,-121.99731,2018-06-07 04:00:56.000
47.55417,-121.99638,2018-06-07 04:01:11.321
47.55485,-121.99726,2018-06-07 04:02:19.000
47.55355,-121.99828,2018-06-07 04:03:32.571
47.55388,-121.99719,2018-06-07 04:04:52.324
47.55388,-121.99719,2018-06-07 04:05:12.646
47.55407,-121.99576,2018-06-07 04:07:14.479
47.55313,-121.99456,2018-06-07 04:09:14.428
47.54951,-121.99337,2018-06-07 04:11:16.542
47.54921,-121.99342,2018-06-07 04:13:16.587
47.5493,-121.9934,2018-06-07 04:15:17.556
47.5493,-121.9934,2018-06-07 04:17:51.320
47.54931,-121.99337,2018-06-07 04:20:01.288
47.54931,-121.99337,2018-06-07 04:22:23.334
47.54929,-121.99343,2018-06-07 04:23:04.429
47.54929,-121.99343,2018-06-07 04:25:20.828
47.54929,-121.99343,2018-06-07 04:28:05.298
47.54931,-121.9934,2018-06-07 04:30:15.364
47.54935,-121.99333,2018-06-07 04:32:16.403
47.54935,-121.99333,2018-06-07 04:34:53.322
47.54927,-121.99335,2018-06-07 04:38:23.473
47.54922,-121.99351,2018-06-07 04:40:23.459
47.54922,-121.99351,2018-06-07 04:42:30.239
47.54941,-121.99328,2018-06-07 04:47:31.303
47.54941,-121.99328,2018-06-07 04:51:33.321
47.54938,-121.99329,2018-06-07 04:52:36.698
47.54945,-121.99334,2018-06-07 04:54:39.418
47.54938,-121.99328,2018-06-07 04:56:40.492
47.54919,-121.99344,2018-06-07 04:58:43.412
47.54925,-121.9934,2018-06-07 05:01:03.209
47.54925,-121.9934,2018-06-07 05:03:03.730
47.54925,-121.9934,2018-06-07 05:05:03.737
47.54925,-121.9934,2018-06-07 05:07:10.311
47.54925,-121.9934,2018-06-07 05:09:58.666
47.54942,-121.99346,2018-06-07 05:11:10.473
47.54942,-121.99346,2018-06-07 05:13:31.279
47.54942,-121.99346,2018-06-07 05:16:32.318
47.54942,-121.99346,2018-06-07 05:19:01.296
47.54942,-121.99346,2018-06-07 05:21:39.303
47.54938,-121.99326,2018-06-07 05:24:02.308
47.54938,-121.99326,2018-06-07 05:26:44.031
47.54933,-121.99332,2018-06-07 05:28:41.466
47.54933,-121.99332,2018-06-07 05:29:03.152
47.54933,-121.99332,2018-06-07 05:31:03.209
47.54933,-121.99332,2018-06-07 05:33:03.225
47.54933,-121.99332,2018-06-07 05:35:03.234
47.5494,-121.99338,2018-06-07 05:36:43.292
47.5494,-121.99338,2018-06-07 05:38:46.219
47.5494,-121.99338,2018-06-07 05:41:03.155
47.54943,-121.99332,2018-06-07 05:42:03.251
47.54918,-121.99347,2018-06-07 05:44:46.455
47.54923,-121.99357,2018-06-07 05:46:46.527
47.54923,-121.99357,2018-06-07 05:49:04.285
47.54923,-121.99357,2018-06-07 05:52:03.302
47.54935,-121.99333,2018-06-07 05:55:27.316
47.54941,-121.99329,2018-06-07 05:57:27.586
47.54941,-121.99329,2018-06-07 05:59:27.564
47.54941,-121.99329,2018-06-07 06:01:27.801
47.54941,-121.99329,2018-06-07 06:03:34.299
47.54941,-121.99329,2018-06-07 06:05:40.338
47.5494,-121.99335,2018-06-07 06:15:04.369
47.5494,-121.99335,2018-06-07 06:18:32.914
47.54935,-121.99333,2018-06-07 06:20:04.066
47.54935,-121.99333,2018-06-07 06:22:10.321
47.54935,-121.99333,2018-06-07 06:24:15.266
47.54935,-121.99333,2018-06-07 06:26:25.392
47.54934,-121.99352,2018-06-07 06:28:59.339
47.54919,-121.99349,2018-06-07 06:31:04.339
47.54919,-121.99349,2018-06-07 06:33:05.258
47.54919,-121.99349,2018-06-07 06:35:34.259
47.54919,-121.99349,2018-06-07 06:38:23.240
47.54935,-121.99333,2018-06-07 06:40:32.234
47.54935,-121.99333,2018-06-07 06:43:39.611
47.54935,-121.99333,2018-06-07 06:46:18.246
47.54935,-121.99333,2018-06-07 06:48:23.201
